input_step,decision,baseline_mmd,baseline_wasserstein,baseline_diversity,continuous_basis_family,continuous_basis_name,continuous_tau,continuous_theta,continuous_phi,continuous_mmd,continuous_mmd_improvement,continuous_wasserstein,continuous_wasserstein_improvement,continuous_diversity,continuous_diversity_retention,continuous_mean_success_probability,continuous_min_success_probability,continuous_score,axis_basis_family,axis_basis_name,axis_tau,axis_theta,axis_phi,axis_mmd,axis_mmd_improvement,axis_wasserstein,axis_wasserstein_improvement,axis_diversity,axis_diversity_retention,axis_mean_success_probability,axis_min_success_probability,axis_score,continuous_score_minus_axis_score
1,fallback_candidate,0.8154329856751629,0.6680875635777624,0.7497214834978786,continuous,continuous,0.5631578947368422,0.2617993877991494,3.141592653589793,0.7968532465028324,0.018579739172330467,0.6230486039858332,0.04503895959192927,0.6866121430095649,0.9158229530866947,0.3878240391203517,0.1996187627114736,0.03689036662262984,axis,z_plus,0.5631578947368422,0.0,0.0,0.7988114746792425,0.016621510995920352,0.6258356845999661,0.042251878977796364,0.6890526457088441,0.9190781655262434,0.4626738206084956,0.24018005493002098,0.03370135876113071,0.0031890078614991296
2,main_candidate,0.8617195237730498,0.7126048183816344,0.7465176770125375,continuous,continuous,0.8710526315789474,0.5235987755982988,0.0,0.7570683204587687,0.10465120331428113,0.5532894543423408,0.15931536403929358,0.5977281056060049,0.8006884820169721,0.38490758288522386,0.0917196997158135,0.17434330943477652,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.7614091574842974,0.10031036628875245,0.5641083515001041,0.1484964668815303,0.6156754800299458,0.8247299414178584,0.44712624546168855,0.08534794369104778,0.16579509680041052,0.008548212634366004
3,main_candidate,0.8950959669091596,0.7445222889725688,0.7517409367810804,continuous,continuous,1.7947368421052632,1.832595714594046,3.141592653589793,0.7561948174253406,0.13890114948381904,0.5551107297800828,0.18941155919248598,0.6048397769213983,0.8045853928233495,0.4493570882442973,0.03561084645245439,0.2238361987212295,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.7598163123687811,0.1352796545403785,0.5626549052830707,0.18186738368949806,0.6172738579118896,0.8211257731353935,0.45087381792450465,0.058128330948325715,0.2172696350418972,0.00656656367933231
5,main_candidate,0.8802663451974547,0.7339780979232902,0.7475218256647923,continuous,continuous,0.8710526315789474,0.5235987755982988,0.0,0.7518126575941897,0.12845368760326503,0.5346270438377168,0.1993510540855734,0.5662019361109274,0.7574386682387341,0.4476248741114393,0.0894931344402507,0.21600114805798845,axis,z_plus,0.8710526315789474,0.0,0.0,0.7767537044689966,0.10351264072845812,0.5243158716649837,0.20966222625830644,0.4997508932338155,0.6685435475939085,0.3022010329453718,0.05652139650996933,0.19177093123730676,0.024230216820681688
7,main_candidate,0.8189477814108185,0.677060149887483,0.7497942053317289,continuous,continuous,0.8710526315789474,0.2617993877991494,1.9634954084936207,0.7903852467297554,0.028562534681063068,0.5821179591495051,0.09494219073797783,0.601194655814822,0.801812886175664,0.2593002952836107,0.06191190552438991,0.06612427435883518,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.7995847764417414,0.019363004969077058,0.5921106442126821,0.08494950567480086,0.6076011716347901,0.8103572517821356,0.4885461744539614,0.08625055623336955,0.052355620395584265,0.013768653963250915
12,fallback_candidate,0.8728525016327231,0.7200761080319219,0.7432108596464757,continuous,continuous,1.6921052631578948,1.832595714594046,3.141592653589793,0.7769825051251275,0.09586999650759565,0.5653609311254068,0.15471517690651515,0.5849442895613292,0.7870502455246288,0.4813830171421728,0.14353649287524495,0.16258009723708466,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.7762352384266101,0.09661726320611297,0.5676976906841176,0.15237841734780433,0.5929827372130588,0.7978660827091841,0.4803168206225095,0.13653689760016946,0.16269977601547433,-0.00011967877838967023
