input_step,tau,theta,phi,pre_rotation,score,baseline_mmd,candidate_mmd,mmd_improvement,baseline_wasserstein,candidate_wasserstein,wasserstein_improvement,baseline_diversity,candidate_diversity,diversity_retention,mean_success_probability,min_success_probability
1,2.0,2.356194490192345,1.5707963267948966,-0.1,0.2458587956895719,0.30295292986435246,0.06362004940289955,0.2393328804614529,0.0628396124196534,0.01513759867342745,0.04770201374622595,0.05361444050822873,0.03503693860222591,0.6534981671001202,0.3922137832286117,0.27815227126675623
2,2.0,2.748893571891069,1.5707963267948966,-0.1,0.49901644369534703,0.5192230849760227,0.0770475520851717,0.442175532890851,0.17021335430259504,0.028056655507327128,0.1421566987952679,0.09757215560038417,0.06978860412517293,0.7152512281372428,0.3994163743229564,0.18209671995946358
4,0.5375000000000001,0.39269908169872414,3.141592653589793,0.1,0.4540858445445592,0.5091269959229905,0.11592429930621365,0.39320269661677687,0.20253603142143653,0.0676183718365587,0.13491765958487784,0.18089848703720404,0.1571078690261169,0.8684863627068683,0.36617340642206136,0.2334209803267408
8,2.0,2.356194490192345,1.5707963267948966,0.25,0.4038892569011009,0.5370380202374588,0.20115327384939197,0.33588474638806687,0.2704963150009215,0.09298497578075067,0.17751133922017082,0.30636612452143086,0.1792170806836056,0.5849768180589725,0.48359467837842096,0.10984412833793834
