input_step,tau,theta,phi,pre_rotation,score,baseline_mmd,candidate_mmd,mmd_improvement,baseline_wasserstein,candidate_wasserstein,wasserstein_improvement,baseline_diversity,candidate_diversity,diversity_retention,mean_success_probability,min_success_probability
1,2.0,2.748893571891069,0.7853981633974483,0.25,0.6825513959035081,0.7965288528644578,0.27135590726142794,0.5251729456030299,0.48490675412764384,0.127101638478427,0.3578051156492168,0.38895070792815445,0.2215143707475117,0.569517849517397,0.5757124066920938,0.1359096993382963
2,2.0,1.9634954084936207,1.5707963267948966,0.25,0.19306874316485803,0.5010109989303749,0.35917694297249414,0.1418340559578808,0.3255959013444826,0.18712495101373686,0.13847095033074572,0.4643080994076107,0.297149866511569,0.6399842408320872,0.46028574821738255,0.11030400701645106
4,2.0,1.9634954084936207,1.5707963267948966,0.0,0.23316903662906935,0.5722602857527074,0.4065909551132412,0.16566933063946615,0.37588535942814455,0.19688297211497832,0.17900238731316623,0.4865638688147047,0.27246128963620975,0.5599702466604022,0.5265030579638856,0.10331538453435948
8,2.0,2.748893571891069,1.5707963267948966,0.25,0.31001924531158276,0.7323027415903898,0.5177059827060765,0.2145967588843133,0.48760811600369414,0.25196331811702155,0.23564479788667259,0.5049081604726843,0.27871018800795744,0.5520017496786641,0.5393517092132316,0.10689594971439563
