input_step,decision,baseline_mmd,baseline_wasserstein,baseline_diversity,continuous_basis_family,continuous_basis_name,continuous_tau,continuous_theta,continuous_phi,continuous_mmd,continuous_mmd_improvement,continuous_wasserstein,continuous_wasserstein_improvement,continuous_diversity,continuous_diversity_retention,continuous_mean_success_probability,continuous_min_success_probability,continuous_score,axis_basis_family,axis_basis_name,axis_tau,axis_theta,axis_phi,axis_mmd,axis_mmd_improvement,axis_wasserstein,axis_wasserstein_improvement,axis_diversity,axis_diversity_retention,axis_mean_success_probability,axis_min_success_probability,axis_score,continuous_score_minus_axis_score
1,main_candidate,0.9187560550087728,0.7613614762982996,0.7465342651707023,continuous,continuous,0.8710526315789474,0.5235987755982988,0.7853981633974483,0.7417293382839671,0.17702671672480563,0.5441863564949315,0.21717511980336812,0.6069935892923211,0.8130820212968068,0.4127742747867747,0.139637781101415,0.27626837769133006,axis,x_plus,0.9736842105263158,1.5707963267948966,0.0,0.7663439326306001,0.1524121223781727,0.6093167632763842,0.15204471302191547,0.7064982529084575,0.9463708310119024,0.6797251760956732,0.4256846530823575,0.22575302043972556,0.0505153572516045
2,main_candidate,0.8672121121467322,0.7209392318046103,0.7493117113558914,continuous,continuous,0.9736842105263158,0.7853981633974483,0.0,0.7612692866822092,0.10594282546452305,0.5751197006225157,0.14581953118209456,0.6241183015306759,0.8329221231592978,0.4737833075280662,0.12207321594923357,0.17049869721353522,axis,x_plus,1.0763157894736843,1.5707963267948966,0.0,0.7705128696410861,0.0966992425056461,0.6163483318102954,0.10459089999431492,0.6949810581622347,0.9274925877037948,0.6424414547703055,0.331049565820288,0.1453693218879933,0.02512937532554191
3,fallback_candidate,0.8682848184900995,0.7208285917916071,0.7533537067669147,continuous,continuous,1.7947368421052632,1.308996938995747,3.141592653589793,0.7619581001729993,0.10632671831710028,0.5697765288534714,0.15105206293813567,0.6241447100502882,0.8284882711055627,0.4694138224837558,0.18919629246753727,0.17327716334144624,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.7619057780351415,0.10637904045495805,0.5589305674738599,0.16189802431774714,0.6008360810256793,0.7975484498566039,0.4825387849745808,0.187848516846135,0.17720547510666182,-0.003928311765215575
5,main_candidate,0.8393875933847779,0.6916142594325343,0.7461495731113663,continuous,continuous,2.0,1.832595714594046,2.356194490192345,0.788879069892573,0.050508523492204915,0.5897371683629351,0.10187709106959919,0.621329812739447,0.8327148270668656,0.46654590059021955,0.09002262402407313,0.0930828103803478,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.8143090859245081,0.02507850746026974,0.5914695294010107,0.10014473003152358,0.5849163221839653,0.7839129623098555,0.4714722942500769,0.06797159836402267,0.0643465205915243,0.02873628978882349
7,main_candidate,0.8542563681527325,0.7104363063810643,0.756029533971718,continuous,continuous,0.9736842105263158,0.7853981633974483,0.0,0.7783727459761095,0.07588362217662303,0.5905761636238382,0.11986014275722601,0.6308089800151437,0.8343708171045358,0.46007641197164695,0.12309760283434529,0.12753223441046282,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.7875657045902644,0.06669066356246811,0.5851316970784357,0.12530460930262854,0.6158789546800597,0.8146228778188166,0.45434307202318935,0.12693432026986406,0.12007411210472321,0.007458122305739612
12,main_candidate,0.8548635276100579,0.7072330729468146,0.7505470855212903,continuous,continuous,0.6657894736842106,0.7853981633974483,1.1780972450961724,0.7788115290325972,0.0760519985774607,0.5703602646967679,0.13687280825004666,0.5983682640867933,0.797242805454635,0.45558280533342366,0.09829711904967461,0.1343505429752158,axis,y_plus,0.5631578947368422,1.5707963267948966,1.5707963267948966,0.7776798403251353,0.07718368728492264,0.6074556371252241,0.09977743582159049,0.6754999785916258,0.9000101281086972,0.3669469930765895,0.16856305044328618,0.12207291160115274,0.012277631374063042
