input_step,decision,baseline_mmd,baseline_wasserstein,baseline_diversity,continuous_basis_family,continuous_basis_name,continuous_tau,continuous_theta,continuous_phi,continuous_mmd,continuous_mmd_improvement,continuous_wasserstein,continuous_wasserstein_improvement,continuous_diversity,continuous_diversity_retention,continuous_mean_success_probability,continuous_min_success_probability,continuous_score,axis_basis_family,axis_basis_name,axis_tau,axis_theta,axis_phi,axis_mmd,axis_mmd_improvement,axis_wasserstein,axis_wasserstein_improvement,axis_diversity,axis_diversity_retention,axis_mean_success_probability,axis_min_success_probability,axis_score,continuous_score_minus_axis_score
1,main_candidate,0.8826063592273053,0.7333050697887116,0.7459114279488364,continuous,continuous,0.8710526315789474,0.5235987755982988,1.1780972450961724,0.7775925209484645,0.10501383827884081,0.5902646909643391,0.14304037882437248,0.63436788492488,0.8504600695947411,0.36685821439469757,0.13721799218178754,0.1690570311707641,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.7931958784005692,0.0894104808267362,0.5938480378809229,0.1394570319077887,0.6163831325130438,0.8263489596989024,0.4403496603212953,0.10203054724128913,0.15045644476557565,0.01860058640518844
2,fallback_candidate,0.8806748028611867,0.7332683408409971,0.7493926458939789,continuous,continuous,1.7947368421052632,1.5707963267948966,2.748893571891069,0.7482180751732789,0.13245672768790784,0.55977004582192,0.1734982950190771,0.6163497215803456,0.8224656659728474,0.5115169010570956,0.15901639635056297,0.21032915849608877,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.7490448212752114,0.13162998158597528,0.5504452463418551,0.18282309449914202,0.5931265945021137,0.7914764012589829,0.5137188088933534,0.10442266521196678,0.21261534889849543,-0.002286190402406657
3,fallback_candidate,0.8956766741706297,0.7499670310555702,0.7520902116177306,continuous,continuous,1.7947368421052632,1.832595714594046,3.141592653589793,0.7910139776249177,0.10466269654571203,0.5841088441138825,0.16585818694168764,0.5929893390204607,0.7884550681027384,0.48220969094040234,0.1147205467659086,0.17701454342169276,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.788474922760832,0.10720175140979771,0.5905875805486313,0.1593794505069389,0.6116349314845526,0.813246764864734,0.47119596765387123,0.10876241974101136,0.17755381490650388,-0.0005392714848111158
5,main_candidate,0.8730116820779534,0.7266816519497803,0.7506322470397918,continuous,continuous,0.8710526315789474,0.5235987755982988,5.890486225480862,0.7755325716941355,0.09747911038381796,0.5680833183287216,0.15859833362105868,0.5892578860274859,0.7850154164723071,0.37105547020301816,0.07266169665669385,0.16602904801796264,axis,z_plus,0.768421052631579,0.0,0.0,0.7992181789397922,0.07379350313816124,0.5572638337334286,0.1694178182163517,0.5296574209152409,0.7056150638398608,0.29256761644946105,0.037022342957833,0.14378316543833014,0.022245882579632503
7,main_candidate,0.8533451087141583,0.7062436439267634,0.7478640298099496,continuous,continuous,0.8710526315789474,0.5235987755982988,1.1780972450961724,0.7834568058316688,0.06988830288248948,0.594249348288625,0.11199429563813845,0.6270697837751938,0.8384810056108026,0.38090772411317186,0.10919757752673295,0.11780950098209884,axis,z_plus,0.8710526315789474,0.0,0.0,0.8167736239258765,0.03657148478828176,0.5697794543224584,0.13646418960430506,0.5169476395024446,0.691232120942912,0.27800770932225904,0.04459687922965524,0.08936518563757989,0.028444315344518953
12,fallback_candidate,0.8280928124669692,0.6861076696851275,0.7516363533437572,continuous,continuous,0.4605263157894737,0.5235987755982988,2.748893571891069,0.7948955999931594,0.0331972124738098,0.6422233059577576,0.043884363727369924,0.7121824276511046,0.9475092902077761,0.4106909195871795,0.21078075823897963,0.052514858847883567,axis,z_plus,0.5631578947368422,0.0,0.0,0.7988809348506322,0.029211877616337034,0.6392935095890853,0.04681416009604222,0.697568985788144,0.928067120070647,0.46582871876971843,0.2044341830363886,0.04902231366789049,0.0034925451799930757
