input_step,decision,baseline_mmd,baseline_wasserstein,baseline_diversity,continuous_basis_family,continuous_basis_name,continuous_tau,continuous_theta,continuous_phi,continuous_mmd,continuous_mmd_improvement,continuous_wasserstein,continuous_wasserstein_improvement,continuous_diversity,continuous_diversity_retention,continuous_mean_success_probability,continuous_min_success_probability,continuous_score,axis_basis_family,axis_basis_name,axis_tau,axis_theta,axis_phi,axis_mmd,axis_mmd_improvement,axis_wasserstein,axis_wasserstein_improvement,axis_diversity,axis_diversity_retention,axis_mean_success_probability,axis_min_success_probability,axis_score,continuous_score_minus_axis_score
1,main_candidate,0.8572519615371429,0.7129468250925945,0.7470499676994731,continuous,continuous,0.768421052631579,1.0471975511965976,0.7853981633974483,0.8036015863202577,0.053650375216885204,0.6268941504344422,0.08605267465815236,0.6649879950961485,0.8901519628519188,0.5744904472869741,0.32854230074574253,0.09118431068855733,axis,x_plus,0.8710526315789474,1.5707963267948966,0.0,0.8102316331971254,0.04702032834001746,0.6535043549482857,0.05944247014430881,0.7126414867274653,0.95394085742622,0.7253764681491202,0.5269607369499926,0.07443860628348287,0.01674570440507446
2,main_candidate,0.8728545109798217,0.7260627087194612,0.7503848087666538,continuous,continuous,0.6657894736842106,1.0471975511965976,1.1780972450961724,0.7620859951645695,0.11076851581525216,0.5806239451945784,0.14543876352488283,0.6467713813086557,0.8619196094490519,0.4840736816977184,0.1904432464546414,0.17658387805014616,axis,y_plus,0.5631578947368422,1.5707963267948966,1.5707963267948966,0.7660788290313799,0.10677568194844178,0.5996620054521471,0.12640070326731412,0.6805888360267568,0.9069864262649254,0.3676728960389595,0.1837615934959238,0.1653253548953451,0.011258523154801053
3,main_candidate,0.8315376088432109,0.6928326390535144,0.7516175589026779,continuous,continuous,1.8973684210526316,1.5707963267948966,2.748893571891069,0.7891544890123404,0.04238311983087051,0.5903749490607122,0.10245768999280225,0.62201224317924,0.8275648111352603,0.46802497609894705,0.1302424767580934,0.08499020538403465,axis,x_minus,1.8973684210526316,1.5707963267948966,3.141592653589793,0.7945140052884208,0.037023603554790174,0.590515936555758,0.10231670249775648,0.610606634546676,0.8123900610280174,0.48007309939317383,0.1475877067712627,0.07880145785506928,0.006188747528965366
5,main_candidate,0.8506617522051284,0.7014710530427213,0.7402987324773092,continuous,continuous,0.8710526315789474,0.7853981633974483,0.39269908169872414,0.8151157290758373,0.035546023129291116,0.6157347544503906,0.08573629859233067,0.6288116701867615,0.8494026027608189,0.5249425817250883,0.1943916372747373,0.0708843025634974,axis,x_minus,1.8973684210526316,1.5707963267948966,3.141592653589793,0.8312440624592725,0.019417689745855893,0.6132526902576144,0.08821836278510686,0.5941480333459174,0.8025787527120054,0.4549315313522172,0.13282173593886315,0.05365580877400959,0.017228493789487806
7,main_candidate,0.8596431365713532,0.7163739821334812,0.7497098345598583,continuous,continuous,0.8710526315789474,0.5235987755982988,1.1780972450961724,0.7998163512761615,0.0598267852951917,0.6052258013215877,0.1111481808118936,0.6290763278587991,0.8390930715589705,0.3865756933198595,0.11169768008027024,0.10735552927908702,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.820656682225662,0.038986454345691146,0.616992037608996,0.09938194452448523,0.6219988568666933,0.8296527912453731,0.448929147753735,0.09412530927491729,0.08016006617020241,0.027195463108884613
12,main_candidate,0.8371187079225799,0.6965826973811643,0.7504858133192068,continuous,continuous,0.768421052631579,0.5235987755982988,1.5707963267948966,0.7781187064691089,0.05900000145347106,0.554201245983713,0.1423814513974513,0.5594145282028692,0.7454032018656312,0.3518291546411709,0.09170466047480673,0.11746088724547826,axis,z_plus,0.8710526315789474,0.0,0.0,0.7920038469563302,0.045114860966249726,0.5448033045899591,0.15177939279120523,0.511782632836862,0.6819351195639239,0.29671324409223343,0.0732713113792351,0.10510131334004853,0.01235957390542973
