input_step,tau,theta,phi,pre_rotation,score,baseline_mmd,candidate_mmd,mmd_improvement,baseline_wasserstein,candidate_wasserstein,wasserstein_improvement,baseline_diversity,candidate_diversity,diversity_retention,mean_success_probability,min_success_probability
1,2.0,2.356194490192345,1.5707963267948966,-0.1,0.2602258331619094,0.31407389159628885,0.062071233441151855,0.252002658155137,0.06937036732860088,0.0166925346355841,0.052677832693016784,0.06174637317107662,0.03937474667039586,0.6376851732052802,0.395042642487254,0.26040807908837693
2,2.0,2.748893571891069,1.5707963267948966,-0.1,0.5315879281684146,0.5346525531417291,0.06575964121495174,0.46889291192677734,0.18712087079226344,0.027557693072215665,0.15956317772004777,0.1156610498465229,0.07613603130009393,0.6582685476322676,0.4235364524996032,0.17879713023266772
4,0.5375000000000001,0.39269908169872414,3.141592653589793,0.0,0.3506043248905459,0.4565436363745827,0.15125027936959826,0.3052933570049844,0.1910690943012458,0.08910460398979438,0.10196449031145143,0.21525228369126456,0.19083717601428046,0.886574454596716,0.3704826094139445,0.20837474420381663
8,2.0,2.748893571891069,1.5707963267948966,0.1,0.4577838939924819,0.5668172107191796,0.18320661228899135,0.3836105984301882,0.27728584037311915,0.10489022947433221,0.17239561089878694,0.28699941015088754,0.21797886525186458,0.7595098022580047,0.4286479266093847,0.1462924654354946
