input_step,decision,baseline_mmd,baseline_wasserstein,baseline_diversity,continuous_basis_family,continuous_basis_name,continuous_tau,continuous_theta,continuous_phi,continuous_mmd,continuous_mmd_improvement,continuous_wasserstein,continuous_wasserstein_improvement,continuous_diversity,continuous_diversity_retention,continuous_mean_success_probability,continuous_min_success_probability,continuous_score,axis_basis_family,axis_basis_name,axis_tau,axis_theta,axis_phi,axis_mmd,axis_mmd_improvement,axis_wasserstein,axis_wasserstein_improvement,axis_diversity,axis_diversity_retention,axis_mean_success_probability,axis_min_success_probability,axis_score,continuous_score_minus_axis_score
1,fallback_candidate,0.8573238994544826,0.7067910624904006,0.7490606560575425,continuous,continuous,1.8973684210526316,1.308996938995747,2.748893571891069,0.7689393175683207,0.08838458188616194,0.5752922171651804,0.13149884532522016,0.6215281991956536,0.8297434849493792,0.48741614418382645,0.12336511870494324,0.14562117879624098,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.7722799694772405,0.08504392997724208,0.5693967709270161,0.13739429156338445,0.6057838143621689,0.8087246466134418,0.5036405054537373,0.08402595521264102,0.1441773080896064,0.0014438707066345702
2,fallback_candidate,0.8651377904102197,0.718043728359722,0.7503391793297296,continuous,continuous,1.7947368421052632,1.308996938995747,3.141592653589793,0.7245552932307069,0.14058249717951277,0.5498371855225275,0.1682065428371945,0.6423385720650789,0.8560642836735162,0.4577886184403398,0.13543419103507817,0.21748898278178583,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.72561825158908,0.13951953882113965,0.5407416367935477,0.17730209156617427,0.6217304137919138,0.82859916011223,0.4711015900262111,0.13788644897124622,0.2196005426098383,-0.0021115598280524728
3,main_candidate,0.8483915959122204,0.704042243021855,0.7535052958819536,continuous,continuous,1.8973684210526316,1.308996938995747,2.748893571891069,0.7657542606131428,0.08263733529907757,0.5768541022844994,0.12718814073735563,0.6381017004138145,0.8468443472144905,0.4509173655640586,0.1764961538239751,0.13857362302847992,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.7796148300512943,0.06877676586092607,0.5752685239424515,0.1287737190794035,0.6100818404874996,0.8096583312973514,0.4694721530628067,0.1577525961400687,0.12364654196549539,0.014927081062984529
5,fallback_candidate,0.8922449879672185,0.7411035885018583,0.7461182662743199,continuous,continuous,1.7947368421052632,1.5707963267948966,2.748893571891069,0.7703479277929728,0.12189706017424573,0.5764278673243861,0.1646757211774722,0.6250433166281992,0.8377268656741264,0.4732357180975157,0.17938483312768425,0.19612126404668814,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.7692739998324004,0.1229709881348181,0.565917548282193,0.17518604021966533,0.6052364570272896,0.8111803240650949,0.47716595401834,0.12157339810783194,0.2011230244479055,-0.005001760401217359
7,main_candidate,0.8927956915553439,0.7428023224652327,0.7483259098415995,continuous,continuous,1.8973684210526316,2.0943951023931953,3.5342917352885173,0.7256677898032993,0.16712790175204462,0.5506851420074728,0.19211718045775994,0.644124302652767,0.8607537092883912,0.5041333767356679,0.1326396587603156,0.25622417744534415,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.7353708694359761,0.1574248221193678,0.5452436512658296,0.19755867119940307,0.6195070086359219,0.827857221684406,0.45906395567466574,0.09179836111400425,0.24759701880328966,0.008627158642054489
12,main_candidate,0.8346713021322094,0.6886369682987193,0.749503218837858,continuous,continuous,1.8973684210526316,1.5707963267948966,2.356194490192345,0.7393446953535022,0.09532660677870719,0.5548720500810648,0.13376491821765457,0.6356999347118804,0.8481617139651044,0.47192813173685916,0.18510824454324973,0.1546171515857897,axis,x_minus,1.8973684210526316,1.5707963267948966,3.141592653589793,0.7859868668992119,0.04868443523299748,0.56697638432683,0.12166058397188939,0.581032906808597,0.7752240313384076,0.508127017263987,0.03864745842098539,0.09827592878586255,0.05634122279992715
