input_step,decision,baseline_mmd,baseline_wasserstein,baseline_diversity,continuous_basis_family,continuous_basis_name,continuous_tau,continuous_theta,continuous_phi,continuous_mmd,continuous_mmd_improvement,continuous_wasserstein,continuous_wasserstein_improvement,continuous_diversity,continuous_diversity_retention,continuous_mean_success_probability,continuous_min_success_probability,continuous_score,axis_basis_family,axis_basis_name,axis_tau,axis_theta,axis_phi,axis_mmd,axis_mmd_improvement,axis_wasserstein,axis_wasserstein_improvement,axis_diversity,axis_diversity_retention,axis_mean_success_probability,axis_min_success_probability,axis_score,continuous_score_minus_axis_score
1,main_candidate,0.8627494016723863,0.7118230674114608,0.7450785449754392,continuous,continuous,1.8973684210526316,1.5707963267948966,2.356194490192345,0.768248895296508,0.09450050637587837,0.5841101058854032,0.1277129615260576,0.6380305076440489,0.8563265067108877,0.47543031776312955,0.17304647361231762,0.15117331247445157,axis,x_minus,1.8973684210526316,1.5707963267948966,3.141592653589793,0.786197329568428,0.07655207210395831,0.5817995769033055,0.13002349050815531,0.5980558575450436,0.8026749147162169,0.4844456878914641,0.06745229891750198,0.1316975630938468,0.019475749380604757
2,fallback_candidate,0.8804023360839759,0.7342550436130933,0.7509607009544833,continuous,continuous,1.8973684210526316,1.308996938995747,2.748893571891069,0.779387189117053,0.10101514696692293,0.5895613375056635,0.14469370610742982,0.6359532654884236,0.8468529241012434,0.4503069595691075,0.15698998832696154,0.1657046462257,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.7838720343182376,0.09653030176573829,0.5831656418389451,0.1510894017741482,0.6132732543164519,0.8166515951327034,0.46070253204144895,0.1122190619306313,0.16290758240944755,0.002797063816252443
3,main_candidate,0.8527230245284837,0.7113099666958803,0.7523401942669377,continuous,continuous,0.8710526315789474,0.5235987755982988,0.7853981633974483,0.7783836955592406,0.07433932896924311,0.5778055754167457,0.1335043912791346,0.6079204546583413,0.8080393142502302,0.42098242941508063,0.13056638110752333,0.13149349032132193,axis,z_plus,0.8710526315789474,0.0,0.0,0.813290600735042,0.039432423793441695,0.5644861447066984,0.14682382198918187,0.5171020595741442,0.6873247814148706,0.28957010675521755,0.04329887029121067,0.09721057385877616,0.034282916462545776
5,fallback_candidate,0.8851763846511996,0.7408763949362234,0.7560287163120772,continuous,continuous,1.7947368421052632,1.832595714594046,3.141592653589793,0.7600815161691961,0.12509486848200357,0.5569762721782615,0.18390012275796186,0.5902869206560676,0.7807731477919233,0.47860235648664295,0.09485770277641237,0.20608358725058068,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.7550872315953457,0.1300891530558539,0.5620541855728269,0.17882220936339643,0.6112463985189412,0.8084962718091093,0.46536822747908974,0.12656897673814643,0.20992507132800758,-0.0038414840774269043
7,main_candidate,0.8741710682559906,0.7291324512182926,0.752949024265362,continuous,continuous,1.7947368421052632,1.5707963267948966,2.748893571891069,0.7704000279004329,0.10377104035555762,0.5810669985677557,0.14806545265053694,0.6294580639740917,0.8359902778122886,0.47453118305684755,0.142046625443743,0.16960328057144053,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.7784167689188224,0.09575429933716817,0.5752577509524402,0.15387470026585237,0.6045013828464161,0.8028450311576093,0.48713327825584474,0.12663206814267344,0.16283390102797482,0.006769379543465709
12,main_candidate,0.8456455626221102,0.7044728055535645,0.7536870721974779,continuous,continuous,1.8973684210526316,1.832595714594046,2.748893571891069,0.7932274522846935,0.05241811033741672,0.592558154859354,0.11191465069421047,0.6125262519371281,0.812706326713584,0.46821919021291747,0.12815010422932982,0.09901075202020115,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.8086866122213469,0.03695895040076336,0.602289747898163,0.10218305765540148,0.6095080895705294,0.8087017968789422,0.4760564798360846,0.1503751978149771,0.07848556907241121,0.020525182947789947
