input_step,decision,baseline_mmd,baseline_wasserstein,baseline_diversity,continuous_basis_family,continuous_basis_name,continuous_tau,continuous_theta,continuous_phi,continuous_mmd,continuous_mmd_improvement,continuous_wasserstein,continuous_wasserstein_improvement,continuous_diversity,continuous_diversity_retention,continuous_mean_success_probability,continuous_min_success_probability,continuous_score,axis_basis_family,axis_basis_name,axis_tau,axis_theta,axis_phi,axis_mmd,axis_mmd_improvement,axis_wasserstein,axis_wasserstein_improvement,axis_diversity,axis_diversity_retention,axis_mean_success_probability,axis_min_success_probability,axis_score,continuous_score_minus_axis_score
1,main_candidate,0.82584802663467,0.6799515036287503,0.7441982937249324,continuous,continuous,1.8973684210526316,1.308996938995747,2.748893571891069,0.7640958075898889,0.06175221904478112,0.5657619409252815,0.1141895627034688,0.6088223463048428,0.818091564356466,0.4841069757039772,0.18527911761953567,0.10975157861433882,axis,x_minus,1.8973684210526316,1.5707963267948966,3.141592653589793,0.7746470942764484,0.05120093235822165,0.5574143203407635,0.1225371832879868,0.5712594152687889,0.7676172064430122,0.5066560069563448,0.10573174308017548,0.10085038432436566,0.008901194289973158
2,main_candidate,0.8628143611659976,0.7133234569893123,0.7478129528795255,continuous,continuous,1.8973684210526316,1.308996938995747,2.748893571891069,0.7805009082056683,0.08231345296032933,0.5848518002619253,0.12847165672738703,0.6241965995286545,0.8346961591466496,0.47878519034564854,0.09813660834301732,0.13828408928135533,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.7893300872835602,0.07348427388243739,0.5866960479032685,0.12662740908604386,0.611062819416784,0.8171332377485947,0.49683945043993133,0.08195210254491797,0.12765464031288906,0.010629448968466265
3,main_candidate,0.8736705179046905,0.7201113691579623,0.7339760678106528,continuous,continuous,1.7947368421052632,2.0943951023931953,3.5342917352885173,0.6664615262535046,0.2072089916511859,0.4845379905063954,0.23557337865156686,0.5886333273765164,0.8019789107461319,0.4708752895163098,0.08361525722790294,0.3150946265142759,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.6907192330014172,0.18295128490327328,0.49951310365712126,0.220598265500841,0.5831290139112246,0.7944796015633265,0.47342539657584404,0.11016851593746363,0.28297439773186006,0.03212022878241583
5,fallback_candidate,0.8743761126624756,0.7281679272299908,0.7527865386337329,continuous,continuous,0.6657894736842106,0.2617993877991494,3.141592653589793,0.7707078149868062,0.10366829767566943,0.5625932999013427,0.16557462732864814,0.5983836154232881,0.7948914927587868,0.31053567648103464,0.10671444108971082,0.17620018597793283,axis,z_plus,0.6657894736842106,0.0,0.0,0.7712693758162453,0.10310673684623028,0.5650731896692521,0.16309473756073867,0.6011931404823072,0.7986236597341929,0.381740754498919,0.12517050480611172,0.17458528861330927,0.0016148973646235576
7,fallback_candidate,0.8392219100326115,0.6967030896266724,0.7538683215111422,continuous,continuous,1.7947368421052632,1.832595714594046,3.141592653589793,0.7531353490978291,0.0860865609347824,0.5495189492585785,0.1471841403680939,0.5923412641943937,0.7857357144375496,0.470214907828821,0.09273090571020473,0.14896541684070683,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.7540114228863524,0.08521048714625912,0.5581164723377734,0.13858661728889898,0.6110791830680941,0.8105914065246502,0.4618031806360786,0.09888920670979358,0.14503336611694112,0.0039320507237657065
12,fallback_candidate,0.8820746784009398,0.7337117262162676,0.7508662217043841,continuous,continuous,1.7947368421052632,1.308996938995747,3.141592653589793,0.7705770104444407,0.11149766795649907,0.5843728050424991,0.14933892117376846,0.6382395158327461,0.8500042982144173,0.4558699521783759,0.19361991899620698,0.17866734345410415,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.7739017970622244,0.10817288133871539,0.576253519070978,0.15745820714528957,0.6153066373064618,0.819462401584377,0.46474757447359194,0.18613573785316068,0.177875104990579,0.0007922384635251356
