input_step,tau,theta,phi,pre_rotation,score,baseline_mmd,candidate_mmd,mmd_improvement,baseline_wasserstein,candidate_wasserstein,wasserstein_improvement,baseline_diversity,candidate_diversity,diversity_retention,mean_success_probability,min_success_probability
1,2.0,2.748893571891069,0.7853981633974483,0.1,0.5861826166169857,0.715765727523233,0.25939258497609313,0.45637314254713984,0.43690291683485166,0.13853103239376954,0.2983718844410821,0.4170192237507452,0.2554120296060666,0.612470636986097,0.552097696198367,0.14531824803383664
2,2.0,1.9634954084936207,1.5707963267948966,0.0,0.23258690956274466,0.5719022711813576,0.40385444495282763,0.16804782622852998,0.37699006733988005,0.21014463574540762,0.16684543159447243,0.48694659154887393,0.30304018227027396,0.6223273507395695,0.47980593293944807,0.11733088197018259
4,2.0,1.1780972450961724,3.9269908169872414,-0.1,0.40206120907322,0.7638826596029825,0.4819861374136476,0.2818965221893349,0.5113528084713614,0.224663295023465,0.28668951344789645,0.4932451907973853,0.2645760313782126,0.5363986031987382,0.48821127805578896,0.07249569610200729
8,2.0,2.356194490192345,1.5707963267948966,0.25,0.3234578183887998,0.6946688619135106,0.46367480227495067,0.23099405963855996,0.46235547486613326,0.23963498042660242,0.22272049443953085,0.5034556918415655,0.31318479832554214,0.6220702306094884,0.5099004723967131,0.11706043452835099
