input_step,tau,theta,phi,pre_rotation,score,baseline_mmd,candidate_mmd,mmd_improvement,baseline_wasserstein,candidate_wasserstein,wasserstein_improvement,baseline_diversity,candidate_diversity,diversity_retention,mean_success_probability,min_success_probability
1,2.0,2.748893571891069,0.7853981633974483,0.1,0.5821794041076308,0.7195850181277552,0.2720107364176717,0.4475742817100835,0.44802237684503476,0.13623037392043597,0.3117920029245988,0.4300898613591336,0.24695003685566722,0.5741824187049577,0.5611452204441454,0.15132444553632815
2,2.0,1.5707963267948966,1.5707963267948966,-0.1,0.19951900892763694,0.5548642873441783,0.4157788087725216,0.13908547857165665,0.36307770505690035,0.19942000438025126,0.1636577006766491,0.48098210844950123,0.2751667861283075,0.5720936003531147,0.5189374599327279,0.10193654357006889
4,2.0,1.1780972450961724,2.356194490192345,0.1,0.30646896521624,0.6863114097882517,0.4729189095601104,0.21339250022814127,0.4535730886121329,0.21754020129470136,0.23603288731743155,0.50252108482205,0.2518637820821047,0.5012004265876591,0.4656047247393424,0.0708667398994576
8,2.0,1.9634954084936207,1.5707963267948966,0.25,0.2950329150435002,0.6830233569310447,0.4742590139844651,0.20876434294657953,0.45357373917024296,0.2431034411654153,0.21047029800482767,0.5052818010037151,0.31361247825005406,0.6206684618901368,0.4925501020404834,0.10409402745045386
