input_step,decision,baseline_mmd,baseline_wasserstein,baseline_diversity,continuous_basis_family,continuous_basis_name,continuous_tau,continuous_theta,continuous_phi,continuous_mmd,continuous_mmd_improvement,continuous_wasserstein,continuous_wasserstein_improvement,continuous_diversity,continuous_diversity_retention,continuous_mean_success_probability,continuous_min_success_probability,continuous_score,axis_basis_family,axis_basis_name,axis_tau,axis_theta,axis_phi,axis_mmd,axis_mmd_improvement,axis_wasserstein,axis_wasserstein_improvement,axis_diversity,axis_diversity_retention,axis_mean_success_probability,axis_min_success_probability,axis_score,continuous_score_minus_axis_score
1,main_candidate,0.8789493700094994,0.7327870236228294,0.7517655089131318,continuous,continuous,1.6921052631578948,1.832595714594046,3.5342917352885173,0.779790386919578,0.09915898308992133,0.564584351296909,0.16820267232592045,0.5787460871376039,0.7698492153149306,0.4508924452438457,0.06860688200108638,0.1717527800186281,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.7953246515718926,0.08362471843760677,0.5877201062829217,0.14506691733990773,0.6001126304401944,0.7982710344184449,0.4534868374247969,0.09159440625973432,0.14607172882848288,0.025681051190145215
2,fallback_candidate,0.8761208661602308,0.7327540138442297,0.7492334608586727,continuous,continuous,1.7947368421052632,1.308996938995747,3.141592653589793,0.748845946132877,0.12727492002735374,0.5674504584281517,0.165303555416078,0.6385703407363911,0.852298214236916,0.47254893456726527,0.18046812346322372,0.20254160844723854,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.7534904411405331,0.12263042501969768,0.5590039033537613,0.1737501104904684,0.6123336077067522,0.8172801132039351,0.4809759503376875,0.14643053026867084,0.20036948592512863,0.0021721225221099094
3,main_candidate,0.8761298481928269,0.7299579387553038,0.7490351758959372,continuous,continuous,0.9736842105263158,0.7853981633974483,0.39269908169872414,0.7579906691525943,0.11813917904023263,0.581927853439651,0.14803008531565276,0.6427808312441523,0.8581450537023289,0.5183308784482077,0.18237364940922163,0.18506147438317547,axis,x_plus,1.0763157894736843,1.5707963267948966,0.0,0.7720761860736634,0.10405366211916356,0.6143176789652245,0.1156402597900793,0.6863347335672778,0.9162917252134894,0.6641089257642646,0.3416751396643806,0.1576883782748777,0.027373096108297773
5,main_candidate,0.9010991918512407,0.7460963966070275,0.7376355478498408,continuous,continuous,0.8710526315789474,0.5235987755982988,1.1780972450961724,0.724879527274914,0.17621966457632665,0.534497807008454,0.21159858959857358,0.6018154454574463,0.8158709910493045,0.4051744613582747,0.13479930859920283,0.2728125089280787,axis,z_plus,0.8710526315789474,0.0,0.0,0.7679248430166146,0.1331743488346261,0.5210909909984467,0.22500540560858084,0.5009150777174476,0.6790820740372155,0.30322582184781455,0.037300001549337415,0.2296311553407773,0.04318135358730138
7,main_candidate,0.8794803679991614,0.7286363975927975,0.746063163253481,continuous,continuous,1.7947368421052632,1.832595714594046,3.141592653589793,0.7490715439949582,0.13040882400420317,0.5413380792482205,0.187298318344577,0.5765195023276547,0.7727489182196462,0.5185537484071622,0.19228930131260016,0.212695429087474,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.7515368824438796,0.1279434855552818,0.551540592212167,0.17709580538063052,0.5944636111980153,0.7968006470198039,0.5116882157353585,0.22534927542906125,0.20633142059658724,0.006364008490886752
12,main_candidate,0.8972678413086574,0.7489454459833418,0.7507873230067049,continuous,continuous,1.7947368421052632,1.832595714594046,3.141592653589793,0.7558771020504348,0.14139073925822265,0.5513424247377852,0.19760302124555662,0.5878259493727607,0.7829460239401392,0.4884300384451926,0.021003640605415135,0.22933955107800794,axis,x_minus,1.6921052631578948,1.5707963267948966,3.141592653589793,0.7570690144471559,0.14019882686150154,0.5676561177501119,0.18128932823322985,0.6220356834437689,0.8285111700510343,0.4781312400550458,0.06015325966013221,0.22226904948066817,0.007070501597339768
