input_step,tau,theta,phi,pre_rotation,score,baseline_mmd,candidate_mmd,mmd_improvement,baseline_wasserstein,candidate_wasserstein,wasserstein_improvement,baseline_diversity,candidate_diversity,diversity_retention,mean_success_probability,min_success_probability
1,0.5375000000000001,0.7853981633974483,2.356194490192345,0.0,0.1505537201704939,0.17505777422939509,0.03024410473587945,0.14481366949351565,0.017395299734915125,0.00591519838095862,0.011480101353956506,0.01561598471885165,0.02624305589406856,1.6805252032801932,0.10160074180008101,0.047510821974207695
2,1.8375000000000001,2.748893571891069,1.5707963267948966,-0.1,0.3307573719488971,0.3477716849633175,0.04530928231964818,0.3024624026436693,0.06856165289455557,0.011971714284100002,0.05658993861045557,0.029250571060407567,0.03345447293229429,1.1437203350049108,0.31723054825250446,0.23146063638366732
4,2.0,2.748893571891069,1.5707963267948966,0.0,0.5584882911208849,0.5492751682945809,0.054697450474035375,0.4945777178205455,0.17414750156132372,0.016928263784331113,0.1572192377769926,0.0675517710967257,0.047692839838495524,0.7060190882368627,0.3954904402232383,0.21800784627453074
8,0.375,0.39269908169872414,3.141592653589793,0.1,0.43467752542133187,0.4591438995887097,0.07416921512591818,0.38497468446279154,0.14833317023089215,0.04091027248429648,0.10742289774659566,0.11507487450859138,0.10584907345369415,0.9198278417048507,0.6012337075192115,0.49528442548450297
