input_step,tau,theta,phi,pre_rotation,score,baseline_mmd,candidate_mmd,mmd_improvement,baseline_wasserstein,candidate_wasserstein,wasserstein_improvement,baseline_diversity,candidate_diversity,diversity_retention,mean_success_probability,min_success_probability
1,1.675,2.356194490192345,0.7853981633974483,0.25,0.12965118402867268,0.1583838714027131,0.030630057908905817,0.12775381349380727,0.015403189154986058,0.011608448085255223,0.0037947410697308347,0.01786162306285693,0.04089431170697356,2.28950703768981,0.28277959795366925,0.23028553207697305
2,1.675,2.748893571891069,0.0,-0.1,0.2870780980954471,0.31774692114265396,0.0488178996183949,0.26892902152425907,0.05770770063519526,0.021409547492819224,0.036298153142376034,0.02712851421627902,0.0649602506225814,2.3945377216272568,0.25103258623935604,0.1593511120749067
4,1.8375000000000001,3.141592653589793,3.141592653589793,-0.1,0.5700673592678573,0.5476742311253732,0.048028419413189395,0.49964581171218375,0.16608426187540887,0.025241166764061775,0.1408430951113471,0.048913845164915884,0.06893112383766835,1.4092354343696154,0.29007177177275345,0.16540694476018158
8,0.375,0.0,0.0,-0.1,0.4417533633876598,0.4550570847701057,0.062166835200409935,0.39289024956969576,0.1406427098507173,0.03418491955396741,0.1064577902967499,0.0984658403894246,0.08986823383631722,0.912684373391782,0.7245023714839149,0.5830629121053222
