input_step,decision,baseline_mmd,baseline_wasserstein,baseline_diversity,continuous_basis_family,continuous_basis_name,continuous_tau,continuous_theta,continuous_phi,continuous_mmd,continuous_mmd_improvement,continuous_wasserstein,continuous_wasserstein_improvement,continuous_diversity,continuous_diversity_retention,continuous_mean_success_probability,continuous_min_success_probability,continuous_score,axis_basis_family,axis_basis_name,axis_tau,axis_theta,axis_phi,axis_mmd,axis_mmd_improvement,axis_wasserstein,axis_wasserstein_improvement,axis_diversity,axis_diversity_retention,axis_mean_success_probability,axis_min_success_probability,axis_score,continuous_score_minus_axis_score
1,main_candidate,0.8178573556327837,0.6760461186362129,0.7478047889370413,continuous,continuous,0.35789473684210527,1.5707963267948966,0.7853981633974483,0.7956740011538849,0.022183354478898853,0.6420619886766646,0.03398412995954825,0.7110187161125372,0.9508079202370538,0.5555683218065737,0.3626392285527713,0.03671581547052567,axis,x_plus,0.25526315789473686,1.5707963267948966,0.0,0.8008259675578049,0.017031388074978837,0.6660326281030527,0.010013490533160141,0.7472235982498349,0.9992228042721784,0.7078575987634601,0.6928150070860568,0.021999273555167825,0.014716541915357848
2,main_candidate,0.8276011950560007,0.6878643686288466,0.7537551086974535,continuous,continuous,0.8710526315789474,0.5235987755982988,0.7853981633974483,0.7776999898366881,0.04990120521931263,0.5766383989506869,0.11122596967815968,0.6178749219937721,0.8197290006584596,0.38930537672132565,0.15241214022436486,0.09650064009131544,axis,z_plus,0.8710526315789474,0.0,0.0,0.8079565049486063,0.019644690107394447,0.5574899083753687,0.13037446025347788,0.5177603232444021,0.6869078793232083,0.26317571482234187,0.06768578738238035,0.0691773142002938,0.02732332589102164
3,fallback_candidate,0.8851792465345465,0.7364290982384102,0.7485218942761586,continuous,continuous,1.7947368421052632,1.832595714594046,3.141592653589793,0.83464641994167,0.0505328265928765,0.6111256754646689,0.1253034227737413,0.5831648626501943,0.7790885839273023,0.47086445611112965,0.08964947532770215,0.10213896717611226,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.8276888609773728,0.05749038555717367,0.6163089512352299,0.1201201470031803,0.6061333819921254,0.8097737509445508,0.46155387513271995,0.10136803869794125,0.10803914660599137,-0.00590017942987911
5,fallback_candidate,0.8517412916830653,0.7057641892703987,0.7493789729585372,continuous,continuous,0.6657894736842106,0.5235987755982988,1.1780972450961724,0.7817992211369796,0.0699420705460857,0.5509473922748652,0.15481679699553352,0.5535296895289997,0.7386512158776922,0.4172941090518423,0.11107871518610805,0.13428302983773707,axis,z_plus,0.6657894736842106,0.0,0.0,0.7788216677774732,0.07291962390559215,0.5690711437417704,0.13669304552862838,0.5960854174696956,0.7954392089710752,0.38114485638744416,0.11450579915846448,0.1310381071184601,0.0032449227192769825
7,main_candidate,0.8904208849339534,0.7441613773082815,0.7529127301416164,continuous,continuous,0.8710526315789474,0.7853981633974483,0.0,0.7774631676933423,0.1129577172406111,0.59257444728071,0.1515869300275715,0.6411767365449591,0.8515950267228969,0.4891754259408655,0.15788984913704127,0.1813309335905417,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.7969116521434889,0.09350923279046452,0.5945055860724222,0.14965579123585926,0.6179675150526845,0.8207691148168662,0.4667902923391901,0.13326321334420765,0.15937558414923747,0.02195534944130423
12,main_candidate,0.8695455028204805,0.7235502120456486,0.7518466916865291,continuous,continuous,1.0763157894736843,1.0471975511965976,5.890486225480862,0.781494838416392,0.08805066440408849,0.5921429963327596,0.13140721571288905,0.6318755001722131,0.8404313102113959,0.4490085261468419,0.12393240870219527,0.1457758377711028,axis,x_minus,1.7947368421052632,1.5707963267948966,3.141592653589793,0.7923029173510587,0.07724258546942175,0.5848164693693153,0.13873374267633332,0.6021565787421849,0.8009034094323645,0.46431381154435813,0.0755416449336221,0.13665462727920663,0.009121210491896181
